id,idCliente,password,numeroCuenta,saldo
8,24,password,1000100010001005,0.010000
4,12,password,1000100010001001,1365.000000
2,6,password,h,0.010000
1,3,password,h,0.010000
3,9,password,h,0.010000
6,18,password,1000100010001003,0.010000
5,15,password,1000100010001002,100.000000
7,21,password,1000100010001004,0.010000
12,36,2222,03260365826587,0.000000
10,30,password,1000100010001007,0.010000
9,27,password,1000100010001006,0.010000
11,33,password,1000100010001008,0.010000
16,41,1234,32266100443772,977.000000
14,42,1234,34887225450322,80.000000
13,41,1234,08332665104438,1437.000000
15,41,1234,50043377611544,84.000000
18,1,1234,01004387721226,1.000000
17,41,1234,45032266500433,0.000000
19,41,1234,76676115548872,0.000000
